,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,The threeballot voting system,['RL Rivest'],2006,NA,"ThreeBallot is like these other forms of VVPR, in that the voter can directly verify her own  paper ballot (or multi-ballot), to ensure that her own intent has been captured correctly on",['6qE0tdAAAAAJ'],136
1,Publication,A better ballot box?,['R Mercuri'],2002,IEEE spectrum,The Mercuri Method allows voters to check that their votes will be recorded accurately by  requiring that electronic voting machines be modified to generate paper ballots. Such a system,['-VmF6rIAAAAJ'],258
2,Publication,On the notion of 'software independence'in voting systems,['RL Rivest'],2008,… Transactions of the Royal Society A …,"paper defines and explores the notion of ‘software independence’ in voting systems: ‘A voting  system  that hand-counts the paper ballots, thus the optical scan voting system is software",['6qE0tdAAAAAJ'],147
3,Publication,"Measuring the usability of paper ballots: Efficiency, effectiveness, and satisfaction","['SP Everett', 'MD Byrne']",2006,Proceedings of the Human …,"on existing voting systems. Three traditional paper ballots were empirically evaluated to  collect baseline data that can later be compared to newer, electronic voting systems. Usability","['', 'DalLJdYAAAAJ']",90
4,Publication,Analysis of an electronic voting system,"['T Kohno', 'A Stubblefield', 'AD Rubin']",2004,IEEE Symposium on …,"Any paperless electronic voting system might suffer similar flaws,  are voting systems having  a “voter-verifiable audit trail,” where a computerized voting system might print a paper ballot","['s_YDrrgAAAAJ', '', 'KWez2_sAAAAJ']",786
5,Publication,"Usability of voting systems: Baseline data for paper, punch cards, and lever machines","['MD Byrne', 'KK Greene', 'SP Everett']",2007,… Human factors in computing systems,"In the first study [6], we evaluated three forms of paper ballot  , there was a clear effect of  ballot type on subjective usability,  while our paper ballots were modeled after ballots designed","['DalLJdYAAAAJ', '', '']",107
6,Publication,Voting technologies and trust,"['B Randell', 'PYA Ryan']",2006,IEEE Security & Privacy,"the vote confidentiality provided by the UK’s existing manual system, we suggest using paper  ballots  , and concentrate first on systems that retain the use of paper ballots because we","['5sqk-sYAAAAJ', 'k2Uy_t4AAAAJ']",94
7,Publication,Electronic voting system usability issues,"['BB Bederson', 'B Lee', 'RM Sherman']",2003,… in computing systems,"In this paper, we lay out the issues of electronic voting systems, report on a study we  ballots  cannot avoid these pitfalls for the same reason that paper ballots cannot; names on a ballot","['IcW1vJEAAAAJ', 'IozWtK0AAAAJ', '']",167
8,Publication,A new implementation of a dual (paper and cryptographic) voting system,"['J Ben-Nun', 'N Fahri', 'M Llewellyn', 'B Riva']",2012,… on Electronic Voting …,voting systems concerns the usability issue. It is often said that cryptographic voting systems   and implement a dual ballot system that retains the look and feel of paper-based elections,"['iFty150AAAAJ', '', '', 'UYe9gf0AAAAJ']",61
9,Publication,The design of an electronic voting system,"['GO Ofori-Dwumfuo', 'E Paatey']",2011,Research Journal of Information …,"The most recent method to be devised is electronic voting (e-voting).  paper ballot, punched  cards and other mechanical voting systems with paperless electronic or online voting systems","['', '']",72
