,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,The Uniformed and Overseas Citizens Absentee Voting Act: Background and Issues,['KJ Coleman'],2007,NA,to all absent uniformed services voters and overseas voters who wish to register in the state;   number of ballots sent to uniformed services and overseas voters and the number returned,[''],14
1,Publication,The Uniformed and Overseas Citizens Absentee Voting Act: Overview and Issues,['KJ Coleman'],2012,NA,to request voter registration and absentee ballot applications  to absent uniformed services  voters and overseas voters for  to an absent uniformed services voter or overseas voter no,[''],6
2,Publication,The Uniformed and Overseas Citizens Absentee Voting Act: Background and Issues for the 107th Congress,['KJ Coleman'],2002,NA,voter registration application from an absent uniformed services voter or overseas voter if   Defense to prepare a plan for electronic voting for uniformed services voters. HR 492 (Bachus),[''],5
3,Publication,Voting by Military Personnel and Overseas Citizens: the Uniformed and Overseas Citizens Absentee Voting Act,['HA von Spakovsky'],2005,The Federalist Society for Law and …,"” in §1973ff-1 and §1973ff-2 to specify that the FWAB can be used by “absent uniformed  services voters and overseas voters.” In other words, military personnel, whether located in the",[''],1
4,Publication,The uniformed and overseas citizens absentee voting act: Overview and issues,['KJ Coleman'],2010,NA,to request voter registration and absentee ballot applications  to absent uniformed services  voters and overseas voters for  to an absent uniformed services voter or overseas voter no,[''],2
5,Publication,Federal Voting Assistance Program (FVAP),['P Taylor'],1996,NA,"service, the ""Voting Action Line,"" to link unit voting officers with their respective Uniformed  Service senior service voting officer or voting  An ""absent Uniformed Services voter"" defined as",[''],0
6,Publication,Army Voting Assistance Program,['A Regulation'],2014,NA,"This regulation applies to absent Uniformed Service (Army) voters in  voter assistance office  within the United States, and to uniformed services voters who currently reside in their voting",[''],0
7,Publication,Assessment of DoD Voting Assistance Programs for Calendar Year 2015,['KP Moorefield'],2016,NA,absent Uniformed Services voters and overseas voters to use absentee registration procedures  to vote  UOCAVA (52 USC §20310 (2014)) defines an absent uniform services voter as:,[''],0
8,Publication,Ex-Patriates and Patriots: A Constitutional Examination of the Uniformed and Overseas Citizens Absentee Voting Act,['A Gura'],2001,Tex. Rev. L. & Pol.,"ballot be available to absent, uniformed services voters stationed overseas at least ninety  days prior to a general election, and available to nonmilitary overseas voters ""as soon as the",[''],7
9,Publication,Email Voting in Indiana Elections,['JR Thompson'],2018,E-Vote-ID 2018,from an absent uniformed services voter or an overseas voter by electronic mail or fax at  the request of the voter indicated in the application filed under this section. If the voter wants to,['-j_XS_EAAAAJ'],3
10,Publication,Defining the Universe: The Problem of Counting UOCAVA Voters,['C Smith'],NA,NA,,[''],1
11,Publication,Election Laws,['N Laws'],2010,NA,,[''],3
12,Publication,The Help America Vote Act and Election Administration: Overview and Issues,"['KJ Coleman', 'EA Fischer']",2014,NA,"For a discussion of current legislation related to uniformed services and overseas voting,   ballots were sent to absent uniformed services voters and overseas voters 46 days before the","['', '']",1
13,Publication,Absentee voting: Issues and options,['ED Feigenbaum'],1987,NA,voter is an: Absent uniformed services voter who by reason of active duty or service is absent   maximum access to the polls by absent uniformed services voters and overseas voters.,[''],1
14,Publication,"The National Voter Registration Act of 1993: History, Implementation, and Effects",['R Crocker'],2013,NA,"a voter registration and absentee ballot application, required each state to “permit  uniformed  services voters and overseas voters to use absentee registration procedures and to vote by",[''],11
15,Publication,Mailing in the vote: Correlates and consequences of absentee voting,"['SC Patterson', 'GA Caldeira']",1985,American Journal of Political Science,"absentee vote in the 1982 gubernatorial contest which turned out to be decisive. This analysis  probes absentee voting  rate of absentee voting across counties, and the consequences of","['', 'DRI63SsAAAAJ']",118
