,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Universal vote-by-mail has no impact on partisan turnout or vote share,"['DM Thompson', 'JA Wu', 'J Yoder']",2020,Proceedings of the …,"Our results imply that the partisan outcomes of vote-by-mail elections closely resemble in-  vote-by-mail does not appear to affect either party’s share of turnout, 2) universal vote-by-mail","['MxUx89gAAAAJ', '', '']",52
1,Publication,Five years later: A re-assessment of Oregon's vote by mail electoral process,['PL Southwell'],2004,Ps: Political science & politics,"The state Republican Party leaders initially supported vote by mail, as they believed that vote  by mail would merely institutionalize the Republicans’ previous efforts to get absentee ballots",['OjANI8UAAAAJ'],96
2,Publication,Get out the vote-by-mail? A randomized field experiment testing the effect of mobilization in traditional and vote-by-mail precincts,"['K Arceneaux', 'T Kousser']",2012,Political Research …,This study investigates whether those who must vote by mail  fifty traditional and fifty  vote-by-mail precincts in San Diego  Vote-by-mail (VBM) advocates emphasize the ways in which,"['7jm2Y4oAAAAJ', 'XyBxLYwAAAAJ']",45
3,Publication,Changing election methods: How does mandated vote-by-mail affect individual registrants?,"['E Bergman', 'PA Yates']",2011,Election Law Journal,"Among early voting options, momentum for vote by mail in  % who did not choose to vote  by mail? The answer is that we  date on the impact of vote-by-mail systems on individual voter","['UK74OPMAAAAJ', 'Flt6NZEAAAAJ']",45
4,Publication,"Analysis of the turnout effects of vote by mail elections, 1980–2007",['PL Southwell'],2009,The Social Science Journal,"expectations about vote by mail elections, this article examines the effect of the vote by mail  format on voter turnout by comparing turnout in both polling place and vote by mail elections.",['OjANI8UAAAAJ'],47
5,Publication,Survey of vote-by-mail senate election in the state of Oregon,"['PL Southwell', 'J Burchett']",1997,PS: Political Science & Politics,election was held using a vote-by-mail format. The purpose of this survey was to address  most of the relevant issues and concerns involving voteby-mail elections and to provide an,"['OjANI8UAAAAJ', '']",64
6,Publication,The participatory and partisan impacts of mandatory vote-by-mail,"['M Barber', 'JB Holbein']",2020,Science advances,"vote-by-mail (Washington and Utah), we use several methods for causal inference to show  that mandatory vote-by-mail  debates about the merits of mandatory vote-by-mail. Mandatory","['FIc_NeYAAAAJ', 'dGUCrakAAAAJ']",21
7,Publication,"Voting technology, vote-by-mail, and residual votes in California, 1990–2010","['RM Alvarez', 'D Beckett']",2013,Political Research …,We examine how the growth in vote-by-mail and changes in voting technologies led to   We also conduct the first analysis of the effects of the rise of vote-by-mail on residual votes.,"['', 'fTVzr_4AAAAJ']",43
8,Publication,Reducing the undervote with vote by mail,"['A Menger', 'RM Stein']",2018,American Politics …,"Colorado responded to the adoption of universal vote by mail elections (VBM). VBM systems   In this article, we examine whether the adoption of vote by mail elections (VBM) and the use","['', 'Ni7lCE0AAAAJ']",12
9,Publication,Who converts to vote-by-mail? Evidence from a field experiment,"['NW Monroe', 'DE Sylvester']",2011,Election Law Journal,"Vote-by-mail (VBM) began to gain momentum in the late  there are several forms of  vote-by-mail that exist across states,  also been referred to as permanent vote-by-mail. In this case,","['WDw5PacAAAAJ', '']",33
10,Publication,Choosing the less convenient way to vote: An anomaly in vote by mail elections,"['A Menger', 'RM Stein']",2020,Political Research Quarterly,"We offer and test four explanations for how vote by mail voters choose to return their ballot,  including the social rewards of voting, the costs of voting, trust in US Postal Service and a","['', 'Ni7lCE0AAAAJ']",11
11,Publication,Who Likes to Vote by Mail?,"['C Plescia', 'S Sevi', 'A Blais']",2021,American Politics Research,"Interest in voting by mail has increased during the coronavirus as a way to avoid in person  contact. In this study, we conducted a survey in February 2020 in the United States to","['XeKE5ZgAAAAJ', 'FR9yorkAAAAJ', 'zm37j2UAAAAJ']",3
12,Publication,Teaching voters new tricks: The effect of partisan absentee vote-by-mail get-out-the-vote efforts,['HJG Hassell'],2017,Research & Politics,"However, there are few studies on the use of vote-by-mail efforts (and none on their use  by  to absentee vote-by-mail voters. This paper tests whether a partisan absentee vote-by-mail",['JA-ZKQgAAAAJ'],20
13,Publication,The neutral partisan effects of vote-by-mail: Evidence from county-level roll-outs,"['DM Thompson', 'J Wu', 'J Yoder', 'AB Hall']",2020,NA,to estimate the causal effect of vote-by-mail programs. We find that: (1) vote-by-mail does  not appear to affect either party’s share of turnout; (2) vote-by-mail does not appear to increase,"['MxUx89gAAAAJ', '', '', 'qjGz0boAAAAJ']",13
14,Publication,Vote-by-Mail in the State of Oregon,"['PL Southwell', 'J Burchett']",1998,Willamette L. Rev.,"Both proponents and opponents made assertions about the probable effects of vote-by-mail,  often without much empirical evidence. This Article discusses the history of vote-by-mail in","['OjANI8UAAAAJ', '']",21
15,Publication,The future of e-voting.,"['P Tarasov', 'H Tewari']",2017,IADIS International Journal on Computer Science & …,"Markpledge was one of the first E2E voting protocols which has been proposed alongside  Votegrity, influencing the development of the other schemes mentioned above and more.","['', '2oIU7q0AAAAJ']",48
16,Publication,Internet voting using zcash,"['P Tarasov', 'H Tewari']",2017,Cryptology ePrint Archive,"since Chaum [4] first proposed Votegrity, one of the first end-to have stemmed from Chaums  Votegrity, which also provide  which has been proposed alongside Votegrity, influencing the","['', '2oIU7q0AAAAJ']",30
17,Publication,Vote verification through open standard: A roadmap,"['AFN Al-Shammari', 'K Weldemariam']",2011,… for Electronic Voting …,"In contrast, a small printer attached to Votegrity DRE prints the receipt in Votegrity system.  The printer prints a double side two-layer transparent receipt in a way that when those layers","['-jumP2gAAAAJ', 'lHXu6nkAAAAJ']",12
18,Publication,DRE-ip: a verifiable e-voting scheme without tallying authorities,"['SF Shahandashti', 'F Hao']",2016,… Symposium on Research in Computer Security,"We do not consider Votegrity, MarkPledge, and vVote since they use mix-nets and their  computation complexity depend on how these verifiable mix-nets are implemented. All","['CZTajNQAAAAJ', 'RHaZFqcAAAAJ']",35
