,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Get out the vote-by-mail? A randomized field experiment testing the effect of mobilization in traditional and vote-by-mail precincts,"['K Arceneaux', 'T Kousser']",2012,Political Research …,"for an absentee ballot. Because mail voting seems to offer a more convenient way to cast a   However, if a local election for a special district board or a narrow ballot question does not on","['7jm2Y4oAAAAJ', 'XyBxLYwAAAAJ']",45
1,Publication,The Absentee Ballot and the Secret Ballot: Challenges for Election Reform,"['JC Fortier', 'NJ Ornstein']",2002,U. Mich. JL Reform,"documents the rise of absentee and mail voting in the United  agents and inspectors to collect  Republican ballots.  ""offer a vote"" in his home precinct precluded absentee balloting. New","['', 'mcAK39gAAAAJ']",70
2,Publication,Participation in mail ballot elections,['DB Magleby'],1987,Western Political Quarterly,"of the vote for governor in California was cast by absentee ballot,  Berkeley precincts had  lower turnout in the mail ballot election  This fact led to the testing of the variables as a group, by",[''],106
3,Publication,Michigan local leaders expect mixed impacts from expanded voter registration and absentee voting reforms,"['N Fitzpatrick', 'D Horner', 'TM Ivacko']",2020,Michigan Public Policy Survey …,"announced absentee ballot applications would be mailed to all  off of our election inspectors  in the precincts on Election Day and  Absentee Voters, which will make my Counting Board","['rmPNhygAAAAJ', '', 'IQBbqtcAAAAJ']",2
4,Publication,Examination of Crawford v. Marion County Election Board: Photo Identification Requirements Make the Fundamental Right to Vote Far from Picture Perfect,['AA Howell'],2010,SDL Rev.,"that did not present proof of identification at the precinct, had the  by mail and was voting  for the first time in a federal election  Generally, an individual voting by absentee ballot did not",[''],2
5,Publication,Absent voting,['C Kettleborough'],1917,American Political Science Review,"the county canvassing board when the general election returns are  inspection; the ballots  are counted in each voting precinct.*  , when he is required to mail ballots to all voters whose",[''],7
6,Publication,Controlling democracy: the principal–agent problems in election administration,"['RM Alvarez', 'TE Hall']",2006,Policy Studies Journal,"methods of voting, such as early, absentee, and Internet voting,  as vote centers, vote-by-mail,  early voting, and Internet voting trouble with Precinct Inspector “no shows” on Election Day,","['', '']",161
7,Publication,Scantegrity {II} Municipal Election at Takoma Park: The First {E2E} Binding Governmental Election with Ballot Privacy,"['R Carback', 'D Chaum', 'J Clark', 'J Conway']",2010,19th USENIX Security …,We decided to only use the receipt checking code from the  Ballot Delivery Mail-in (absentee)  ballots were delivered to  Absentee ballots were identical to in-person voting ballots except,"['MMmq2jUAAAAJ', '', 'oQrvLjYAAAAJ', '']",151
8,Publication,Reprecincting and voting behavior,"['B Amos', 'DA Smith']",2017,Political Behavior,"a no-excuse absentee ballot by mail or in person, millions of  sent an absentee ballot in the  2014 General Election, which  , then, our examination of the redrawing of precinct lines and","['d7bNJVQAAAAJ', 'Z8Ni8X0AAAAJ']",29
9,Publication,The Case for Networked Remote Voting Precincts.,"['D Sandler', 'DS Wallach']",2008,EVT,"such task; academic testing, for example, requires a testing  precinct only to discover that  she is absent from the precinct’s  a remote voting system that replaces postal mail with Internet","['_bz9vIAAAAAJ', 'oM25EQkAAAAJ']",15
