,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,The design of an electronic voting system,"['GO Ofori-Dwumfuo', 'E Paatey']",2011,Research Journal of Information …,"The aim of this study is to design an electronic voting system  voting (e-voting).  It is meant to phase out outdated paper ballot, punched cards and other mechanical voting","['', '']",72
1,Publication,Analysis of an electronic voting system,"['T Kohno', 'A Stubblefield', 'AD Rubin']",2004,IEEE Symposium on …,"to replace outdated punch-card and mechanical voting systems, municipalities and  this  voting system is unsuitable for use in a general election. Any paperless electronic voting system","['s_YDrrgAAAAJ', '', 'KWez2_sAAAAJ']",786
2,Publication,The roadmap to the electronic voting system development: a literature review,"['MM Sarker', 'TMNU Akhund']",2016,International Journal of Advanced …,"Myers of Rochester, New York patents the first mechanical lever voting machine, called  the Myers Automatic Booth, prevents over votes, speeds up the vote counting process, and","['PG11Bc8AAAAJ', 'rerDXDUAAAAJ']",26
3,Publication,A light-weight e-voting system with distributed trust,"['A Zwierko', 'Z Kotulski']",2007,Electronic Notes in Theoretical Computer Science,"election cards, semi-mechanical voting devices or utilization purely electronic voting  booths. The security mechanisms applied in the system are based on verified cryptographic","['', 'MZ_6GXYAAAAJ']",29
4,Publication,Voting technology implementation,['KRT Larsen'],1999,Communications of the ACM,"mechanical voting machines with new state-of-the-art electronic machines, they would avoid  technical problems while making voting  a fully automated voting system was announced,",['_qBDX98AAAAJ'],34
5,Publication,Early requirements for mechanical voting systems,['DW Jones'],2009,… on Requirements Engineering for e-Voting …,The first mechanical voting system to clearly address this complaint was patented in 1893  by Urban Iles[33]. His machine used punched-card ballots with a precinct-count tabulating,[''],13
6,Publication,The evaluation of voting technology,['DW Jones'],2003,Secure electronic voting,"voting system, the Data Vote system, overcomes some of the problems with the Votomatic  system call conventional lever voting machines direct-recording mechanical voting machines.",[''],28
7,Publication,Electronic voting system: Preliminary study,"['S Ibrahim', 'M Salleh', 'M Kamat']",2000,Jurnal Teknologi Maklumat,"This paper first reviews the evolution of a voting system and  for a reliable electronic voting  system and how these requirements  mechanical voting machines, machine-readable voting","['Vsg376gAAAAJ', 'kURA4vsAAAAJ', '']",9
8,Publication,Disenfranchised by design: voting systems and the election process,['SK Roth'],1998,Information Design Journal,' standing before the mechanical voting machine ballot. The  A subject voting on the  mechanical lever ballot with Issues  The punch card is the most widely-used voting system in the,['-0iEDTUAAAAJ'],85
9,Publication,Engineering better voting systems,['B Haas'],2006,Proceedings of the 2006 ACM symposium on …,s accounting system for determining a winning candidate. And we consider a voting system  as a  elections highlighted the unreliability of mechanical voting machines with the problem of,[''],10
10,Publication,Technologists as political reformers: Lessons from the early history of voting machines,"['DW Jones', 'M Hall']",2006,Society for the History of Technology …,"We ask, for each voting system and each potential attacker, what barriers does the  system put in place to  We can describe a classical mechanical voting machine as a direct-recording","['', '']",10
11,Publication,The unconsidered ballot: How design effects voting behavior,['SK Roth'],1994,Visible Language,voting to a democratic system Subjects were videotaped while of government and the need  for voting on either a mechanical  The ballot is the component of any voting system that,['-0iEDTUAAAAJ'],17
12,Publication,Analysis of electronic voting system in various countries,"['S Kumar', 'E Walia']",2011,International Journal on Computer Science and …,"Electronic voting refers to any system where a voter casts his or her ballot using an electronic  system, rather than a paper ballot (or mechanical machine to punch a paper ballot). Once","['tgD_jnUAAAAJ', '']",84
13,Publication,Modeling and Simulation of a Robust E-voting System,"['M Malkawi', 'M Khasawneh', 'O Al-Jarrah']",2009,Communications of the …,"The design of a “good” voting system, whether electronic or using traditional paper ballots  or mechanical devices must satisfy a number of sometimes competing criteria including a high","['FCrroyoAAAAJ', 'QANEpCEAAAAJ', 'qxD-tmAAAAAJ']",24
14,Publication,Electronic voting in Germany,['M Volkamer'],2010,Data protection in a Profiled World,"of our society—mechanical and later electronic voting machines were introduced to rush  the  the WIEN-system to a remote electronic voting system, the so called vote remote system.",['ve0UJIEAAAAJ'],11
15,Publication,A better ballot box?,['R Mercuri'],2002,IEEE spectrum,"And who’s to know that the bar-code reader hasn’t been programmed to misread ballots?  Hence, the Mercuri Method requires a human-readable plain text printout. Besides its utility in",['-VmF6rIAAAAJ'],258
16,Publication,Voting and technology: Who gets to count your vote?,"['DL Dill', 'B Schneier', 'B Simons']",2003,Communications of the ACM,"People misread ballots, punch cards don’t tabulate properly,  , after which the paper ballot  is deposited into a ballot box.  on the DRE-produced paper ballots, with the DRE machine","['uy8T6BYAAAAJ', '', '']",69
17,Publication,Improving the Accuracy of Ballot Scanners Using Supervised Learning,"['S Barretto', 'W Chown', 'D Meyer', 'A Soni', 'A Tata']",2021,… Joint Conference on …,known to sometimes misread “marginal” marks that deviate from ballot  ballots. This approach  achieves higher accuracy than a naive intensity threshold while requiring far fewer ballots,"['', '', '', '', '']",0
18,Publication,Improving the Accuracy of Ballot Scanners Using Supervised Learning,['SBWCD Meyer'],2021,E-Vote-ID 2021,to sometimes misread “marginal” marks that deviate from ballot instruc ballots. This approach  achieves higher accuracy than a naive intensity threshold while requiring far fewer ballots,[''],0
19,Publication,How the Media Missed or Misread the Black Vote of 2000,['D Mathis'],2001,Harvard International Journal of Press/Politics,", the mechanics of the Electoral College, the various ways ballots can be “spoiled” and  discounted, the rules–or lack thereof–for handcounting ballots, protocols of the judicial system. It",[''],0
20,Publication,Close vote and now a ballot on GPs' contract.,['G MacPherson'],1989,BMJ: British Medical Journal,Ministers should not misread the close vote to reject the revised contract package for NHS   enough to persuade the conference that a ballot of all general practitioners was necessary. All,[''],2
21,Publication,The Ballot Laws of New York,['JF Daly'],1899,The North American Review,"their votes, when correctly cast, were misread or miscounted, through the ignorance of   The policy of the State has been, for the last three years, to provide an official ballot for the",[''],1
22,Publication,"Dead rights, live futures: A reply to Habermas's “constitutional democracy”",['B Honig'],2001,Political Theory,Would there be a new round of voting by those in Florida who misread their ballots or were  wrongly barred from casting theirs? Would ballots be recounted according to a single Court-,['MvYhmsYAAAAJ'],112
23,Publication,"THE “BALLOT QUESTION” IN THE 2011 ELECTION: TWO WINS, TWO LOSSES",['G Norquay'],2011,OPTIONS POLITIQUES,the right ballot question is absolutely critical in obtaining the desired outcome. The second  is that the wrong ballot  of an “unnecessary election” was a huge misread of the public mind.,[''],3
24,Publication,Elections; absentee ballots-voting procedures,['E Code'],NA,NA,"mailed or presented the ballot, or return the ballot to a precinct  ballots by mail or in person  to the official who sent the ballot,  Mouton might be misread to authorize counting such ballots",[''],0
25,Publication,On optical mark-sense scanning,['DW Jones'],2010,Towards Trustworthy Elections,"ballots with only one race on the ballot and only a few candidates. A typical methodology is  to sort the ballots  handle misread ballots, it quickly emerged that one of the most valuable",[''],16
26,Publication,How e-voting threatens democracy,"['K Zetter', 'E How']",NA,NA,,"['', '']",7
27,Publication,Machine-Assisted Election Auditing.,"['JA Calandrino', 'JA Halderman', 'EW Felten']",2007,EVT,than previous ballot-based auditing methods. We show how to determine which ballots to  audit  to our techniques to address the possibility that auditors might misread a paper ballot.,"['', 'h6yXnyEAAAAJ', 'watx0IAAAAAJ']",49
28,Publication,"Post-election auditing: effects of procedure and ballot type on manual counting accuracy, efficiency, and auditor satisfaction and confidence","['SN Goggin', 'MD Byrne', 'JE Gilbert']",2012,Election Law Journal: Rules …,"ballots throughout lengthy audits, auditors can easily count ballots multiple times, skip over  ballots, or misread  technology and ballot style we examined is an optical scan ballot system (","['pnZl6qcAAAAJ', 'DalLJdYAAAAJ', 'FKbHXRUAAAAJ']",27
29,Publication,The butterfly effect under STV,['NR Miller'],2007,Electoral Studies,"As a result of the recount, it is determined that in fact two ballots were misread in a manner  unfavorable to B and that when this error is corrected the ballot profile is that shown in Table",['9pXasFQAAAAJ'],10
