,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Y at-il de l'ergonomie dans les ordinateurs de vote français? evaluation ergonomique des ordinateurs de vote français,"['G Michel', 'C Bastien', 'E Brangier']",2009,… of the 21st International Conference on …,"que le manque d’utilisabilité des ordinateurs de vote peut empêcher les populations fragilisées,  en  Pour cela nous avons comparé l’interface d’un de ces ordinateurs de vote avec une","['', '', '8LFJlukAAAAJ']",1
1,Publication,Les dispositifs de vote électronique dits vérifiables,['C Enguehard'],2015,NA,"sont dits vérifiables, en particulier les ordinateurs de vote avec trace papier. La troisième   dits vérifiables que nous avons étudiés (ordinateurs de vote avec trace papier, vote hybride,",[''],3
2,Publication,www. ordinateurs-de-vote. org Citoyens et informaticiens pour un vote vérifié par l'électeur,['D Dill'],NA,NA,Elle demande des ordinateurs de vote  ) du 26 janvier 2006 concernant l'accès aux rapports  pour agrément des ordinateurs de vote autorisés. Un recours devant le Conseil d'Etat est en,[''],0
3,Publication,Vote électronique et preuve papier,['C Enguehard'],2007,"14 ème Colloque international"" De l' …",Résumé : Les ordinateurs de vote qui dématérialisent les bulletins sont opaques et leurs  résultats sont invérifiables. Les ordinateurs matérialisant les bulletins de vote peuvent,[''],5
4,Publication,Le vote électronique en France,['C Enguehard'],NA,NA,L’utilisation d’ordinateurs de vote dans la procédure  Il faut souligner que l’utilisation d’ordinateurs  de vote peut  Mais les ordinateurs de vote représentent également un marché,[''],0
5,Publication,"Transparence, élections et vote électronique",['C Enguehard'],2011,NA,lors d'élections politiques : ― Ordinateurs de Vote avec Bulletin Dématérialisé (OdV-BD)2 Il  s' Les ordinateurs de vote ne contrôlent pas les identités des électeurs. Ce sont les membres,[''],2
6,Publication,Encore un recul du vote électronique...,['GJ Guglielmi'],2008,NA,"La ville de Reims, qui avait mis en place très largement des ordinateurs de vote dans ses  bureaux aux dernières élections politiques, décide de revenir au vote papier.",[''],0
7,Publication,"Vote papier, vote mécanique, vote électronique",['C Enguehard'],2011,Le Genre Humain,"28Les ordinateurs de vote apparaissent en 1975 aux Pays-Bas et se répandent en Inde, au  Brésil, en  Certains ordinateurs de vote transmettent également leurs résultats vers le bureau",[''],1
8,Publication,Vote électronique: informatiser au service des électeurs,"['C Enguehard', 'W de Abreu Cybis', 'G Michel']",2009,Colibri,Nous traitons ici des ordinateurs de vote de type DRE (Direct-Recording Electronic) non  connectés à un réseau et équipant les bureaux de vote. Tous les constructeurs de ces systèmes,"['', '', '']",0
9,Publication,Le vote électronique pour quelle démocratie?,['L Favier'],2011,Le Genre humain,"années : frein au déploiement de certains ordinateurs de vote en France et en Allemagne,   3Pourtant, 1,3 million d’électeurs ont utilisé des ordinateurs de vote aux dernières élections",[''],0
