,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Commonwealth of Massachusetts Board of Registration in Medicine Expert Panel on immediate implant-based breast reconstruction following mastectomy for cancer …,"['', ' Board of Registration in Medicine Expert ']",2011,Journal of the …,"In 2008, the Quality and Patient Safety Division of the Massachusetts Board of Registration  in Medicine received, under a confidential reporting system, a cluster of patients who","['', '']",13
1,Publication,Profile of the nurse participating in a substance abuse program of a board of registration in nursing in a New England state,"['C Kowalski', 'MP Rancourt']",1997,Journal of Addictions Nursing,than discipline to nurses reported to the Board of Registration in Nursing for practicing while   Abuse Rehabilitation Program of one State Board of Registration in Nursing. A second objec,"['', '']",9
2,Publication,A history of the American Board of Registration of Electroencephalographic Technologists,['PW Smith'],1984,American Journal of EEG Technology,"The purpose of this article is to review the history of the American Board of Registration of  Electroencephalographic Technologists, Inc.(ABRET) from its conception to 1984. Major topics",[''],6
3,Publication,"Temperance board registration for alcohol abuse in a national sample of Swedish male twins, born 1902 to 1949","['KS Kendler', 'CA Prescott', 'MC Neale']",1997,Archives of general …,"board registration, respectively; these estimates were stable across birth cohorts. High genetic  liability was reflected by large numbers of temperance board  early age at first registration.","['PKXVXTgAAAAJ', 'LxW6wCMAAAAJ', 'nV2abUgAAAAJ']",251
4,Publication,Infusion Nursing Standards of Practice influences the Boards of Registration in Nursing on advisory rulings regarding peripherally inserted central catheters,"['S Ober', 'G Craven']",2012,Journal of Infusion Nursing,"In the summer of 2011, the Massachusetts Board of Registration in Nursing issued revisions  to its original 1993 and 2002 advisory rulings regarding peripherally inserted central","['', '']",13
5,Publication,Parole board members' views of sex offender registration and community notification,"['R Tewksbury', 'EE Mustaine']",2012,American Journal of Criminal Justice,"In the end, we find that parole board members hold generally moderate views regarding  sex offenders, and often question the fairness, efficacy and scope of registration, community","['', 'r5DKgrMAAAAJ']",49
6,Publication,The need of a national dental board of registration,['M Dewey'],1918,The Dental Register,"board of regis tration will be a decided advantage over the present plan of individual registration  in each  We hope that we may see the time when such a board will be a certainty, and in",[''],1
7,Publication,Automatic registration between reference and on‐board digital tomosynthesis images for positioning verification,"['L Ren', 'DJ Godfrey', 'H Yan', 'QJ Wu', 'FF Yin']",2008,Medical physics,"registration technique for automatic registration between reference and on-board DTS   This technique uses a faster but less accurate static method to achieve an initial registration,","['', 'kYu6fvsAAAAJ', '', '', 'J6lv7y8AAAAJ']",51
8,Publication,Towards state registration,['M Barham'],1993,Dramatherapy,"This more detailed article will document recent developments, discuss the composition  and structure of the proposed Federal Board and illustrate the benefits of State Registration.",[''],3
9,Publication,Evaluation of on-board kV cone beam computed tomography–based dose calculation with deformable image registration using Hounsfield unit modifications,"['Y Onozato', 'N Kadoya', 'Y Fujita', 'K Arai']",2014,International Journal of …,"Purpose The purpose of this study was to estimate the accuracy of the dose calculation of  On-Board Imager (Varian, Palo Alto, CA) cone beam computed tomography (CBCT) with","['', 'AJQPzOcAAAAJ', '', '']",63
