,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Ballot design and unrecorded votes on paper-based ballots,"['DC Kimball', 'M Kropf']",2005,Public opinion quarterly,"of each ballot’s voting instructions, we type the instructions into  In our sample the grade  level scores for ballot instructions range  We also examine whether ballot instructions include a","['-Jv8t-wAAAAJ', 'GYH2xD4AAAAJ']",161
1,Publication,Making Ballot Language Understandable to Voters.,['SJ Laskowski'],2006,EVT,"the DREs, we also reviewed • the instructions for voters on how to move through the ballot   of the gap between best practices and typical ballot instructions. See (Redish, 2006) for","['', '']",20
2,Publication,The unfortunate natural experiment in ballot design: the Scottish Parliamentary Elections of 2007,"['C Carman', 'J Mitchell', 'R Johns']",2008,Electoral Studies,We should also note that the ballot papers are not over burdened with instructions. A simple  statement ‘You have two votes’ is connected to the columns with split bold arrows with the,"['', 'ge_cFNMAAAAJ', 'n6B5gMMAAAAJ']",38
3,Publication,The impact of input rules and ballot options on voting error: An experimental analysis,"['JS Maloy', 'M Ward']",2021,Politics and Governance,"is one that shows one or more violations of the instructions for a given input rule; a void ballot  is one that is mismarked in a particular way, such that no quantitative contribution from that","['', 'EMOe15MAAAAJ']",3
4,Publication,Ballot mark detection,"['EHB Smith', 'D Lopresti', 'G Nagy']",2008,2008 19th International …,ballot through a scanner (sometimes called a Portable Ballot  The instructions on the ballot  usually specify what constitutes  of the interpretation of a particular ballot is the voter’s intent.,"['4CcAPCgAAAAJ', 'dFCu3gMAAAAJ', 'MKJ9k84AAAAJ']",21
5,Publication,"Voter Verification of Ballot Marking Device Ballots Is a Two-Part Question: Can They? Mostly, They Can. Do They? Mostly, They Don't","['P Kortum', 'MD Byrne', 'J Whitmore']",2021,Election Law Journal: Rules …,"There was also a no-instruction (or “no prime”) condition, where no ballot checking instructions  were included on the ballot and no verbal reminders were given to the participants at any","['BD7BLDgAAAAJ', 'DalLJdYAAAAJ', '']",7
6,Publication,Report of findings: Use of language in ballot instructions,"['JG Redish', 'DE Chisnell', 'E Newby', 'SJ Laskowski']",2009,National Institute of …,"of instructions: Ballot A, traditional instructions; Ballot B, plain  We based the traditional  version of the ballot instructions on  the ballot instructions on best practices in giving instructions.","['96d4Fa4AAAAJ', '', '', '']",8
7,Publication,Making voting accessible: designing digital ballot marking for people with low literacy and mild cognitive disabilities,"['K Summers', 'D Chisnell', 'D Davies', 'N Alton']",2014,2014 Electronic Voting …,"ballot interface design—starting with the best current thinking about electronic ballot design,   the interface design of the ballot is simple and plain, fewer instructions are needed. Keeping","['tzNujqUAAAAJ', '', '', 'etJOu-MAAAAJ']",18
8,Publication,Ballot design options,['RM Alvarez'],2002,NA,"However, ballot and voter instructions may not directly and  non-English ballot design and  voter instructions are understood and  and use the ballot design and instructions. The impact of",[''],9
9,Publication,An experimental examination of approval voting under alternative ballot conditions,['EW Koc'],1988,Polity,"This article moves to fill this void with an examination of the relationship between approval  voting and two other electoral conditions, the wording of the ballot instructions and the",[''],7
10,Publication,Inhibition of human platelet aggregation by S-nitrosothiols. Heme-dependent activation of soluble guanylate cyclase and stimulation of cyclic GMP accumulation.,"['', 'LJ Ignarro', 'CB Myers', 'EH Ohlstein', 'BA Ballot']",1983,Molecular …,"Recent studies have suggested that cyclic GMP accumulation in platelets mediates the  antiaggregatory effects of certain nitrogen oxide-containing agents such as sodium nitroprusside,","['', '', '', 'GCc-s-IAAAAJ', '']",234
11,Publication,Improving the Accuracy of Ballot Scanners Using Supervised Learning,"['S Barretto', 'W Chown', 'D Meyer', 'A Soni', 'A Tata']",2021,… Joint Conference on …,ballot instructions. We investigate the feasibility of improving scanner accuracy using  supervised learning. We train a convolutional neural network to classify various styles of marks,"['', '', '', '', '']",0
12,Publication,Beyond the butterfly: The complexity of US ballots,"['RG Niemi', 'PS Herrnson']",2003,Perspectives on Politics,"in ballot design and instructions noted in this article—and if they were to seek to simplify the  process and, on a voluntary basis, create more uniformity across the states—it could lead to","['', '']",79
13,Publication,Ballot paper design and vote spoiling at Polish local elections of 2014: Establishing a causal link,"['M Pierzgalski', 'MA Górecki']",2020,East European Politics …,common if (1) voting instructions are located in the upper left corner of the ballot; (2) words   ) instructions for voters are written in an active and affirmative style; and (4) ballot instructions,"['EGvvkTkAAAAJ', 'DPV3I3UAAAAJ']",9
14,Publication,Ballot design and invalid votes: Evidence from Colombia,"['M Pachón', 'R Carroll', 'H Barragán']",2017,Electoral Studies,"When the effect is separated by these types two type of instructions, we see  ballot the  chances of spoiling the ballot were significantly higher than for subjects assigned the 2011 ballot.","['Ezk91lwAAAAJ', '3G5z3fQAAAAJ', 'FOQomOsAAAAJ']",35
15,Publication,Influence of 'cognitive sophistication'on ballot layout effects,"['B Geys', 'B Heyndels']",2003,Acta Politica,"for Ballot Layout Effects. To be more precise, we investigate whether or not Ballot Layout   The next section reviews the literature on Ballot Position and Ballot Layout Effects and the","['uunNUBUAAAAJ', '']",53
16,Publication,Ballot layout effects in the 1995 elections of the Brussels' government,"['B Geys', 'B Heyndels']",2003,Public Choice,we show how the layout of the ballot affects voting behaviour as reflected by the candidates’  preferential votes. We discuss how this special case of Ballot Position Effects can be,"['uunNUBUAAAAJ', '']",38
17,Publication,Ballot position and election results: Evidence from a natural experiment,"['J Blom-Hansen', 'J Elklit', 'S Serritzlew', 'LR Villadsen']",2016,Electoral Studies,"Experimental studies from first-past-the-post systems show that the ballot  ballot papers  using ballot layout to study ballot position effects. We find indeed, the ballot position/layout has a","['', 'cQsC7YkAAAAJ', 't5jbbY0AAAAJ', '']",59
18,Publication,An Authentication and Ballot Layout Attack Against an Optical Scan Voting Terminal.,"['A Kiayias', 'L Michel', 'A Russell', 'N Sashidar', 'A See']",2007,EVT,"The attack payload delivers a tampered ballot layout that, depending on the scenario, allows  swapping of candidate votes, neutralizing votes, or even shifting votes from one candidate","['P_L_vZAAAAAJ', 'njNdGR0AAAAJ', 'EsJmgf4AAAAJ', 'sPv7ob0AAAAJ', '']",19
