,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,The paillier cryptosystem,"[""M O'Keeffe""]",2008,Mathematics Department April,"So long as there are secrets, there is a need for encryption to help guard these secrets. The  Paillier Cryptosystem is an encryption scheme that can be used to conceal information, with",[''],14
1,Publication,Encryption performance improvements of the paillier cryptosystem,"['C Jost', 'H Lam', 'A Maximov', 'B Smeets']",2015,Cryptology ePrint Archive,"In the following, we start by briefly describing the Paillier cryptosystem in Section 2, for  completeness and in order to fix notation. We also comment on practical issues with key","['', 'z2WTdxoAAAAJ', '', '']",62
2,Publication,Distributed paillier cryptosystem without trusted dealer,"['T Nishide', 'K Sakurai']",2010,International Workshop on Information Security …,"Paillier cryptosystem. Often in the multiparty computation based on the threshold Paillier  cryptosystem Building on the threshold Paillier cryptosystem with a trusted dealer, we show how","['', '']",60
3,Publication,Reversible data hiding in Paillier cryptosystem,"['HT Wu', 'Y Cheung', 'J Huang']",2016,Journal of Visual Communication and Image …,"In this paper, reversible image data hiding in the Paillier cryptosystem is investigated. To  transmit  data can be losslessly transmitted in the different applications of Paillier cryptosystem.","['WY7VE8EAAAAJ', 'VM7FCvUAAAAJ', 'XqUWS7YAAAAJ']",57
4,Publication,Extensions to the paillier cryptosystem with applications to cryptological protocols,['MJ Jurik'],2003,NA,"The papers mostly concern new variants of the Paillier cryptosystem and their application  Paillier cryptosystem and the simplification, generalization and modification of the cryptosystem",[''],43
5,Publication,Purging the back-room dealing: Secure spectrum auction leveraging paillier cryptosystem,"['M Pan', 'J Sun', 'Y Fang']",2011,IEEE Journal on Selected Areas in …,"In this paper, we propose THEMIS, a secure spectrum auction leveraging the Paillier  cryptosystem to prevent the frauds of the insincere auctioneer as well as the bid-rigging between","['zwh0osAAAAAJ', 'gqGfIIsAAAAJ', 'dJgRKmwAAAAJ']",85
6,Publication,Reliable implementation of Paillier cryptosystem,['AKA Hassan'],2014,Iraqi Journal of Applied Physics,to provide reliable secure Paillier cryptography system. Paillier cryptosystem were implemented  with  The results of the suggested implementation showed that Paillier cryptosystem was,['hiSht-4AAAAJ'],9
7,Publication,The homomorphic other property of Paillier cryptosystem,"['T Sridokmai', 'S Prakancharoen']",2015,2015 International Conference …,"Paillier's work beginning to homomorphic encryption by showing how to encrypt and decrypt  messages using this cryptosystem,  We observe that Paillier scheme is always better than","['zqrIQQUAAAAJ', '']",17
8,Publication,Encrypted images-based reversible data hiding in Paillier cryptosystem,"['C Jiang', 'Y Pang']",2020,Multimedia Tools and Applications,"Paillier cryptosystem [20] is an additive homomorphic public key. With Paillier cryptosystem,   The Paillier cryptosystem first generates a random number g in the key generation phase,","['', '']",14
9,Publication,An efficient separable reversible data hiding using paillier cryptosystem for preserving privacy in cloud domain,"['AN Khan', 'MY Fan', 'MI Nazeer', 'RA Memon', 'A Malik']",2019,Electronics,"However, with this disadvantage comes an advantage that the property of homomorphic  addition inherent in the Paillier cryptosystem used in our scheme makes it suitable for privacy-","['glP_7fwAAAAJ', '', 'CcwhAtUAAAAJ', 'lbjGeK0AAAAJ', '41rvEokAAAAJ']",12
10,Publication,Distributed consensus-based economic dispatch in power grids using the Paillier cryptosystem,"['Y Yan', 'Z Chen', 'V Varadharajan']",2021,… on Smart Grid,"In this paper, we use the Paillier cryptosystem [18] that  Computational performance of the  Paillier algorithms is typically  preserving algorithm using the Paillier cryptosystem. We also","['xx2aybEAAAAJ', 'oOt5U48AAAAJ', 'Ru4cV0EAAAAJ']",3
11,Publication,An efficient IND-CCA2 secure Paillier-based cryptosystem,"['A Das', 'A Adhikari']",2012,Information Processing Letters,secure transformation of Paillier cryptosystem into an IND-CCA2 secure one in random  oracle model. Our construction exploits the randomness extractability of Paillier cryptosystem for,"['urEMENEAAAAJ', 'Gp_NkwQAAAAJ']",16
12,Publication,Compressive sensing and paillier cryptosystem based secure data collection in WSN,"['S Ifzarne', 'I Hafidi', 'N Idrissi']",2021,Journal of Ambient Intelligence and …,"a paillier cryptosystem  paillier cryptosystem based key distribution and management,  intra-cluster data gathering, and secure data transmission. Initially, the PC 2 SR provides paillier","['', 'ELsGjSoAAAAJ', '']",1
13,Publication,A provably secure and efficient verifiable shuffle based on a variant of the paillier cryptosystem,"['L Nguyen', 'R Safavi-Naini', 'K Kurosawa']",2005,Cryptology ePrint Archive,"We propose a variant of the Paillier cryptosystem that improves efficiency in  encryption, re-encryption and decryption while preserving the homomorphic property. We then use","['', 'SjZEzOYAAAAJ', 'BaODejoAAAAJ']",19
14,Publication,"Wikipedia, Feb. 25, 2013, 5 pages [online][retrieved on Aug. 14, 2013] URL: http://en. wikipedia. org/wiki",['P Cryptosystem'],NA,NA,,[''],3
15,Publication,"Le panachage, un outil de démocratie locale à préserver",['A Daziron'],2014,Esprit,"4L’argument essentiel utilisé contre le panachage est qu’il  panachage. Le tout résumé  par le triptyque, « un maire, une équipe, un projet », censé s’affranchir des aléas du panachage",[''],0
16,Publication,Cherry Picking at the 2015 Swiss Federal Elections: The Influence of Electoral Campaigning on Panachage and Cumulation,"['M Gerber', 'M Bühlmann', 'D Zumbach']",2016,NA,– in the case of the panachage models – also for the 2011 vote share of the party receiving  a (panachage) vote (= recipient). In case of the panachage models where candidates receive,"['kSRlG-gAAAAJ', 'gYsaHbUAAAAJ', '']",0
