,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Ballot mark detection,"['EHB Smith', 'D Lopresti', 'G Nagy']",2008,2008 19th International …,We experimented with a base ballot template from Minnesota (Fig. 1) that is generally  representative of the filled-oval format of ballots. Although the instructions for this,"['4CcAPCgAAAAJ', 'dFCu3gMAAAAJ', 'MKJ9k84AAAAJ']",21
1,Publication,A three-ballot-based secure electronic voting system,"['AO Santin', 'RG Costa', 'CA Maziero']",2008,IEEE Security & Privacy,"voting console receives the voter’s biometric template, decrypts it, and verifies its authenticity  ( Verification consists of comparing the template obtained from the device with the template","['t1Bmc7oAAAAJ', '', 'uwOXXv93HFcC']",66
2,Publication,UnclearBallot: Automated Ballot Image Manipulation,"['M Bernhard', 'K Kandula', 'J Wink']",2019,… Joint Conference on …,"Ballot manipulation algorithm—First, (a) we apply template matching to extract the race we  intend to alter. Then, (b) we use Hough line transforms to separate each candidate. If the first","['_jCbGsIAAAAJ', 'vkrcQhwAAAAJ', '']",3
3,Publication,Evaluation of voting with form dropout techniques for ballot vote counting,"['EHB Smith', 'S Goyal', 'R Scott']",2011,… Conference on Document …,between a template and a marked ballot image were presented It was determined that if the  ballot images came from gray level  The blank ballot template page was also scanned at both,"['4CcAPCgAAAAJ', '', '']",8
4,Publication,Formal modeling and verification of a federated byzantine agreement algorithm for blockchain platforms,"['J Yoo', 'Y Jung', 'D Shin', 'M Bae']",2019,2019 IEEE International …,"template, ballot template, slot manager template, and nomination observer template. The   synchronization point between the nomination template and the ballot template. Then, the node","['', 'o67Q2LcAAAAJ', '6uSW0MQAAAAJ', '']",17
5,Publication,Ballot paper design and vote spoiling at Polish local elections of 2014: Establishing a causal link,"['M Pierzgalski', 'MA Górecki']",2020,East European Politics …,"of relying on unusually large ballot cards. In Polish municipal elections in the period between  1998 and 2010, one-sided ballot papers, such as the template presented in Figure 1, were","['EGvvkTkAAAAJ', 'DPV3I3UAAAAJ']",9
6,Publication,A voting ballot web application as a collaboration support system,['V Jayakumar'],2013,NA,The goal of this Thesis project is to implement the client side of a Voting Ballot Web Application  taking into context Collaboration software  Figure 3.2 contains the create ballot template.,[''],1
7,Publication,Mark Detection from Scanned Ballots.,"['EHB Smith', 'G Nagy', 'DP Lopresti']",2009,DRR,The method used in this paper to do this is to register the template image to the marked  ballot image and to compare these images. This is similar to form dropout used in form,"['4CcAPCgAAAAJ', 'MKJ9k84AAAAJ', 'dFCu3gMAAAAJ']",13
8,Publication,Analyze and Understand the Layout Characteristics of Ballot Image,"['G Xiao', 'J Shen', 'J Chen', 'F Gao']",2008,2008 International Symposium …,"understanding of every ballot image, but just realize the layout understanding of the template  ballot image before the Ballot Count, then we can recognize other ballot images quickly","['', '', '', '']",2
9,Publication,UnclearBallot: Automated Ballot Image Manipulation,['JA Halderman'],2019,"… Voting: 4th International Joint Conference, E …","Ballot manipulation algorithm—First,(a) we apply template matching to extract the race we  intend to alter. Then,(b) we use Hough line transforms to separate each candidate. If the first",['h6yXnyEAAAAJ'],0
10,Publication,Punchscan in practice: An E2E election case study,"['A Essex', 'J Clark', 'R Carback']",2007,Proceedings of Workshop …,"graphics are placed on the ballot, the only requirement for the ballot template is the ability  to mark  to create the ballot template. In the second step each individual ballot is generated","['miGbuS4AAAAJ', 'oQrvLjYAAAAJ', 'MMmq2jUAAAAJ']",48
11,Publication,Ballot image recognition based on template matching,"['K ZHOU', 'J TANG']",NA,NA,,"['', '']",0
12,Publication,Evaluation of Voting with Form Dropout Techniques for Ballot Vote Counting,"['EH Barney Smith', 'S Goyal', 'R Scott', 'D Lopresti']",2011,NA,ballot template page was also scanned at both brightness settings. The scanned area that  lies outside the paper boundaries was removed. The template  template and the marked ballot,"['4CcAPCgAAAAJ', '', '', 'dFCu3gMAAAAJ']",0
13,Publication,{OpenScan}: A Fully Transparent Optical Scan Voting System,"['K Wang', 'E Rescorla', 'H Shacham']",2010,2010 Electronic Voting …,"ballot without any marks filled in as a template. Using these calibration points, we estimate a  homography [13] between the video frame and template  video frame and template, this time","['_MsNwIsAAAAJ', '', 'E0NwK2AAAAAJ']",9
14,Publication,An analysis of write-in marks on optical scan ballots,"['T Ji', 'E Kim', 'R Srikantan', 'A Tsai', 'A Cordero']",2011,2011 Electronic Voting …,"the hashmarks present on the ballot image to the template image. Last, we solve for the best  affine transformation that maps the ballot hashmarks to the template hashmarks, using least-","['', 'YTmGBNsAAAAJ', '', '', '']",7
15,Publication,"The effect on voters of misleading, confusing, and difficult ballot titles","['R Gafke', 'D Leuthold']",1979,The Public Opinion Quarterly,confusion was in the direction suggested by the ballot title. About 55 percent of the voters said   Since the ballot title suggested that both public and nonpublic students would be provided,"['', '']",22
16,Publication,Ballot titles and voter decision making on ballot questions,"['J Hastings', 'D Cann']",2014,State and Local Government Review,"on ballot questions and design an experiment to test the hypothesis that ballot title wording   we find strong framing effects for changes in ballot title wording, though the effects are driven","['', 'gj9ivR0AAAAJ']",17
17,Publication,What's in a Name-The Battle over Ballot Titles in Oregon,['WA Lund'],1998,Willamette L. Rev.,"In less controversial proposals or in cases where a dissatisfied citizen is not savvy enough  to navigate the system for ballot title appeal, a biased or confusing ballot title may never",[''],19
18,Publication,"Ballot paper cues and the vote in Australia and Britain: alphabetic voting, sex, and title","['J Kelley', 'I McAllister']",1984,Public Opinion Quarterly,"paper cues are the position of the candidate's name on the ballot paper, the candidate's  sex, and whether or not the candidate uses an honorary or academic title. These ballot paper","['2h8EhAIAAAAJ', 'NvNmbP4AAAAJ']",132
19,Publication,When does ballot language influence voter choices? Evidence from a survey experiment,"['CM Burnett', 'V Kogan']",2015,Political Communication,"During the course of the survey, each subject was presented with a ballot title and summary  for two ballot measures. After reading this text, the subjects were asked how they would vote","['Ww4B90QAAAAJ', 'FTBmX5cAAAAJ']",35
20,Publication,Analyze and Understand the Layout Characteristics of Ballot Image,"['G Xiao', 'J Shen', 'J Chen', 'F Gao']",2008,2008 International Symposium …,the position detection of the ballot table in the ballot image. So we can realize the extraction  of the ballot title by searching the part of the ballot image that is in front of the ballot table.,"['', '', '', '']",2
21,Publication,"In re Title, Ballot Title, & Submission Clause v. Brandon, 960 P. 2d 672 (Colo. 1998)",['S Lawler'],1999,Water Law Review,"The court explained that the scope of review in such a case is limited to ensuring that the  title, ballot title and submission clause, and summary fairly reflect the proposed initiative in a",[''],0
22,Publication,Researching California Ballot Measures,['LT Liebert'],1998,Law Libr. J.,"a ballot title. Opponents of the measure filed suit to compel the attorney general to alter the  title of measure, arguing that the title  the attorney general to so alter the title. On appeal, the",['FQaDlxoAAAAJ'],7
23,Publication,Report Don't Judge an Initiative by Its Title: A Report on the Titles of California Ballot Measures,['D Kim'],2012,California Initiative Review (CIR),"education, the ballot title (also referred to as “ballot title and summary”). 2 The title is both the   , with a comparison of past ballot titles. Last, this report will explore how voters learn about",[''],0
