,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Protesting via the null ballot: An assessment of the decision to cast an invalid vote in Latin America,['MJ Cohen'],2018,Political Behavior,"Rates of invalid voting in Latin America are among the highest in the world. Yet, scholars have  not reached an agreement about whether these votes are driven by voter protest and, if so",['GUPuHSoAAAAJ'],57
1,Publication,"From Error to Error: Why Voters Could not Cast a Ballot and Verify Their Vote With Helios,{Prêt}{à} Voter, and Scantegrity {II}","['CZ Acemyan', 'P Kortum', 'MD Byrne']",2015,USENIX Journal of …,cast a vote using Helios. The most frequent reason that voters did not cast a ballot is that [A]  after encrypting their ballot and have their most recent cast ballot counted in the final election,"['qDfqO9sAAAAJ', 'BD7BLDgAAAAJ', 'DalLJdYAAAAJ']",36
2,Publication,Ballot Casting Assurance.,"['B Adida', 'CA Neff']",2006,EVT,"All observers can check that only eligible voters cast a ballot and watch the tallying  process on encrypted votes, which is usually implemented as an anonymizing mixnet or a","['Jz7PpH8AAAAJ', '']",100
3,Publication,A better ballot box?,['R Mercuri'],2002,IEEE spectrum,system reported all votes as being cast for just one party’s  still possible to inadvertently  cast a ballot for a candidate that  that computerized methods for ballot casting and tabulation,['-VmF6rIAAAAJ'],258
4,Publication,"First come, first served: The effect of ballot position on electoral success in open ballot PR elections",['G Lutz'],2010,Representation,"ballot PR elections, voters can not only choose a party—as is the case in closed ballot PR  elections—they can also cast  of 2007, where voters could cast up to 34 candidate preference",['hDY98NEAAAAJ'],143
5,Publication,Self-tallying elections and perfect ballot secrecy,"['A Kiayias', 'M Yung']",2002,International Workshop on Public Key Cryptography,"In these schemes any set of t authorities may uncover the contents of any cast ballot. If the  voters play the role of the authorities to achieve PBS, it is clear that the threshold t should be n,","['P_L_vZAAAAAJ', 'ScL8iFQAAAAJ']",219
6,Publication,Voting technology: The not-so-simple act of casting a ballot,"['PS Herrnson', 'RG Niemi', 'MJ Hanmer', 'BB Bederson']",2009,NA,Presidential elections—the only office for which voters in all fifty states and the District of  Columbia cast a ballot—forcefully remind us that we do not have truly national elections in the,"['', '', 'Lua5dA4AAAAJ', 'IcW1vJEAAAAJ']",146
7,Publication,Ballot bedlam,['S Issacharoff'],2014,Duke LJ,"ballot. At a time when the formal act of voting has been relaxed, and more than a third of  Americans cast  In some sense this is hardly novel; questions of ballot integrity and ballot access",['lrGGAlkAAAAJ'],45
8,Publication,The impact of ballot type on voter errors,"['PS Herrnson', 'MJ Hanmer']",2012,American Journal of …,"Utilizing a large-scale field study, we examine the extent to which voters cast ballots for  unintended candidates (or ballot measures), egregious errors that reduce support for voters’","['', 'Lua5dA4AAAAJ']",65
9,Publication,{Super-Simple} Simultaneous {Single-Ballot}{Risk-Limiting} Audits,['PB Stark'],2010,… Electronic Voting Technology Workshop/Workshop on …,"of an individual ballot (cast vote record, CVR) with a human interpretation of the same ballot,   the machine interpreted any particular cast ballot, but this sort of “single-ballot auditing” has",['5EMVIoEAAAAJ'],53
