,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Les courtiers du capitalisme,['S Laurens'],2015,NA,"mené essentiellement sur la Commission européenne, en  la Commission), mais aussi lors  de l’élaboration des règles de  : accès aux marchés, aux financements, attribution de réseaux",[''],102
1,Publication,Système de pensée et réforme du droit criminel: les idées innovatrices du rapport Ouimet (1969),['R Dubé'],2008,NA,Le cas du Comité canadien de la réforme pénale et correctionnelle (Commission Ouimet)  allait nous servir de laboratoire d'observation. Son rapport officiel et les documents d'archives,[''],23
2,Publication,"Processus de judiciarisation carcérale: le droit en prison, une ressource pour les acteurs?",['C Rostaing'],2007,Droit et société,"président de la Commission de surveillance, du médiateur de la  président de la CADA  (Commission d’accès aux documents  de la République ou de la Cour européenne des droits de l’",[''],61
3,Publication,L'audit d'intelligence économique,"['B Besson', 'JC Possin']",1998,"Dunod, Paris","de commission vers les entreprises françaises et les politiques qui n’ont rien a voir avec les  marchés signés. C’est de la corruption ou de l’abus de  , commission d’accès des documents","['', '']",64
4,Publication,"La Convention d'Aarhus, instrument universel de la démocratie environnementale",['M Prieur'],1999,Revue juridique de l'environnement,Elle concerne d'abord l'accès du public aux documents  Ce document non contraignant est  la mise en œuvre  créant des commissions de concertation ou des commissions consultatives,[''],57
5,Publication,Contentieux administratif,"['P Lewalle', 'L Donnay']",2008,NA,de reconsidération et la demande d’avis à la commission d’accès aux et de réutilisation des  documents  1996 de la Commission communautaire française de la Région de Bruxelles-,"['', '']",44
6,Publication,"Histoire de la documentation en France: culture, science et technologie de l'information, 1895-1937",['S Fayet-Scribe'],2016,NA,organise l’accès à l’information et l’usager de celle-ci; un outil de médiation donne une   Commission internationale de coopération intellectuelle Congrès mondial de la documentation,[''],109
7,Publication,L'industrialisation de la formation. État de la question.,['P Moeglin'],1998,NA,"Tremblay, Gaëtan (1985) : Le service public : principe de base de la radiodiffusion  canadienne, rapport de recherche effectué pour le compte de la Commission Caplan-Sauvageau,",['8CYgyOYAAAAJ'],187
8,Publication,"Les organisations internationales, terrains d'étude de la globalisation. Jalons pour une approche socio-historique",['S Kott'],2011,Critique internationale,"ou dans les commissions et sections instituées au sein de ces  de l’historien, qui s’appuie  sur les archives et les documents  Le dispositif d'accès distant simplifié mis en place par Cairn",['Mr5f7L0AAAAJ'],89
9,Publication,Associations: les nouveaux guichets de l'immigration? Du travail militant en préfecture,['M Pette'],2014,Sociologie,"d’une commission préfectorale permettant le réexamen de  , les types de dossiers pouvant  être présentés, les documents à  dans un document officiel signé par les différentes parties.",[''],49
10,Publication,Nature et légitimités des savoirs citoyens dans l'urbanisme participatif. Une enquête ethnographique à Paris,['H Nez'],2011,Sociologie,"Cette démocratisation de l’accès au savoir et au pouvoir reste  et régulièrement dans le  cadre de commissions de travail. Leurs  Pour élaborer ce document, Denis s’est appuyé sur un",[''],130
11,Publication,Les autorités administratives indépendantes,['M Gentot'],1991,NA,,[''],140
12,Publication,Les autorités administratives indépendantes,"['CA Colliard', 'G Timsit', 'J Autin']",1988,NA,,"['', '', '']",75
13,Publication,L'alimentation des Premières Nations et des Inuits au Québec,['O Bergeron'],2016,NA,"la cueillette, mais passe aussi par l’accès à des aliments de bonne qualité et à faibles  s’est  assurée la collaboration de certains de ses partenaires principaux, dont la Commission de la",[''],12
14,Publication,"La précarité, une catégorie française à l'épreuve de la comparaison internationale",['JC Barbier'],2005,Revue française de sociologie,"travail (à part le casual work qui se fait sans aucun document  nom du président de la  commission de réforme du marché  d’assistance, de préretraite, par exemple, ou un accès plus",[''],226
15,Publication,"Police and crime commissioner elections, 2012","['G Berman', 'C Coleman']",2012,Economic …,Elections for PCCs are due to take place once every four years and future elections are to  coincide with local authority elections sufficiently informed about the elections and the role of,"['', '']",13
16,Publication,"The Police and Crime Commissioner elections, November 2012","['P Joyce', 'N Wain']",2013,Safer Communities,to examine the elections for Police and Crime Commissioners (PCCs). It seeks to analyse  the policies put forward by the candidates and evaluate the significance of the elections for the,"['', '']",6
17,Publication,Local and Police and Crime Commissioner Elections May 2016,"['C Rallings', 'M Thrasher']",2016,"Plymouth, Elections Centre …",• The 2016 local elections gave nearly 15.72 million registered electors the opportunity to  vote at a contested election–about 40% of the total local government electorate in England.•,"['', 'DT_ybzIAAAAJ']",3
18,Publication,"Elections in Sri Lanka, October 2000",['A Sives'],2001,Representation,The Commissioner of Elections is also appointed by the president and can only be  removed on grounds of ill health or by Parliament. The Commissioner is then responsible for,[''],2
19,Publication,The 2016 Police and Crime Commissioner elections,['P Joyce'],2017,Safer Communities,The purpose of this paper is to analyse the 2016 elections for Police and Crime  results  of the contests and the implications of the 2016 experience for future PCC elections.,[''],3
20,Publication,The incumbency advantage in US primary elections,"['S Ansolabehere', 'JM Hansen', 'S Hirano', 'JM Snyder Jr']",2007,Electoral Studies,"in the general elections is in some way connected to the primary elections,  elections and  why this growth was prior to the growth of the incumbency advantage in the general elections","['', '', '', '1r1UGz8AAAAJ']",90
21,Publication,Estate of Clack v. Commissioner: An End to the Conflict over Contingent QTIP Elections,['IA Vlissides'],1997,Geo. Mason L. Rev.,"In February 1996, the Tax Court addressed an issue of statutory construction that it had  decided in three earlier cases. However, after being reversed by three separate federal circuit",[''],2
22,Publication,The 2012 Police and Crime Commissioner elections in England and Wales: aspects of participation and administration,"['C Rallings', 'M Thrasher']",2013,London: The Electoral …,and half that at the 2011 combined local elections and AV referendum. • Turnout was higher  in those places which combined the PCC elections with other electoral events than it was in,"['', 'DT_ybzIAAAAJ']",2
23,Publication,Community School Board Elections in New York City. A Report to the New York State Commissioner of Education.,['MJ Rubin'],1973,NA,"Following reports of irregularities in the May 1973 schoolboard elections of New York City,  the New York Commissioner of Education asked the author to identify the difficulties",[''],2
24,Publication,Commentary: The Police and Crime Commissioner Elections,['B Loveday'],2012,The Police Journal,What is to be made of the Police and Crime Commissioner elections held in November 2012?  One immediate response would be that these elections have proved to be truly baffling for,['EfR8NJ4AAAAJ'],2
25,Publication,Racial heterogeneity and the effective number of candidates in majority runoff elections: Evidence from Louisiana,['MP Jones'],1997,Electoral Studies,The Louisiana Commissioner of Elections publishes the racial distribution of the registered  voters in all House districts at the end of every quarter. I employ the registration data,['5bpuhRMAAAAJ'],39
26,Publication,More democracy: The direct primary and competition in US elections,"['S Ansolabehere', 'JM Hansen', 'S Hirano']",2010,Studies in American …,"Finally, we examine the historical trajectory of competition in primary elections, starting with   primary elections indeed provided a forum for contestation for federal and statewide elections","['', '', '']",85
27,Publication,Election Commissioner of India. Report on the General Elections to the Legis,"['VM Dandekar', 'D Deshmukh']",1993,The State and the Poor …,"Election Commissioner of India. Report on the General Elections to the Legislative  Assemblies. New Delhi: Controller of Publications, 1984. Election  Zilla Parishad Elections","['', '']",0
28,Publication,"The decline of competition in US primary elections, 1908-2004","['S Ansolabehere', 'JM Hansen', 'S Hirano']",2006,The marketplace of …,"Data on general election competition in statewide elections come from the MIT State  Elections Database. For further information on and discussion of the general election data, see","['', '', '']",70
29,Publication,Estate of Clack v. Commissioner: The Tax Court's Wavering Views on Qtip Elections,['MJ Savinelli'],1997,Quinnipiac Prob. LJ,"Notwithstanding its established precedent, including well-reasoned interpretations of the  statute, the court establishes new precedent for QTIP elections. In addition, the court merely",[''],0
