,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,vVote: a verifiable voting system,"['C Culnane', 'PYA Ryan', 'S Schneider']",2015,ACM Transactions on …,"The Prêt à Voter cryptographic voting system was designed to be flexible and to offer voters  a familiar and easy voting experience. In this article, we present our development of the Prêt","['HR4TBIoAAAAJ', 'k2Uy_t4AAAAJ', 'RpVDhIoAAAAJ']",78
1,Publication,vvote: Verifiable electronic voting in practice,"['C Burton', 'C Culnane', 'S Schneider']",2016,IEEE Security & Privacy,"In Victoria, Australia, the vVote verifiable voting system allowed blind voters and voters in  remote locations to cast fully secret ballots in a verifiable way. e new verifiability checks didn’t","['ckj8xdYAAAAJ', 'HR4TBIoAAAAJ', 'RpVDhIoAAAAJ']",15
2,Publication,Secure and verifiable electronic voting in practice: the use of vvote in the victorian state election,"['C Burton', 'C Culnane', 'S Schneider']",2015,arXiv preprint arXiv:1504.07098,The vVote suite of pages on vec.vic.gov.au were all visited with increasing frequency up to   and the Demtech assessment of vVote (35). People accessing the vVote suite of pages came,"['ckj8xdYAAAAJ', 'HR4TBIoAAAAJ', 'RpVDhIoAAAAJ']",13
3,Publication,Verifiable electronic voting in practice: the use of vvote in the victorian state election,"['C Burton', 'C Culnane']",2016,IEEE Security …,"This paper reports on the experience of deploying the vVote verifiable voting system in the  November 2014 State election in Victoria, Australia. It describes the system that was deployed","['ckj8xdYAAAAJ', 'HR4TBIoAAAAJ']",7
4,Publication,Software design for vec vvote system,"['C Culnane', 'J Heather', 'SA Schneider', 'Z Xia']",2013,NA,of the vVote election system for the Victorian Electoral Commission (VEC). The vVote election   brief background into the properties that the vVote system aims to provide and how they,"['HR4TBIoAAAAJ', 'pqxmVPUAAAAJ', 'RpVDhIoAAAAJ', '']",5
5,Publication,The future of civic education,['K Kawashima-Ginsberg'],2016,State …,"Presidential elections provide unparalleled opportunities to broaden students’ civic engagement.  Especially this year, young people have pressed candidates to attend to issues they",['catzoVsAAAAJ'],6
6,Publication,Problems with e-voting in the 2014 Victorian state election and recommendations for future elections,"['R Wenl', 'R Bucklandl']",2015,NA,Focusing the design of vVote strongly on verifiability has led to unfortunate and dangerous  trade- the vVote system inappropriate and unsafe to use in a critical role in Victorian elections.,"['', '']",3
7,Publication,vvote: a verifiable voting system (DRAFT),"['C Culnane', 'PYA Ryan', 'S Schneider', 'V Teague']",NA,NA,,"['', '', '', '']",8
8,Publication,"vVote: a Verifiable Voting System (DRAFT). CoRR, abs/1404.6822, 2014","['C Culnane', 'PYA Ryan', 'S Schneider', 'V Teague']",NA,NA,,"['', '', '', '']",6
9,Publication,Steve Schneider and Vanessa Teague. vVote: a Verifiable Voting System (DRAFT),"['C Chris', 'Y Peter', 'A Ryan']",NA,NA,,"['', '', '']",4
10,Publication,Review of the vVote System,"['C Schürmann', 'D Basin', 'L Ronquillo']",NA,NA,,"['', '', '']",4
11,Publication,vVote: A Verifiable Voting System,"['C Chris', 'Y Peter', 'A Ryan', 'SA Schneider', 'V Teague']",NA,NA,,"['', '', '', '', '']",2
