,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Scantegrity {II} Municipal Election at Takoma Park: The First {E2E} Binding Governmental Election with Ballot Privacy,"['R Carback', 'D Chaum', 'J Clark', 'J Conway']",2010,19th USENIX Security …,", “Scantegrity” refers to the voting team or to the Scantegrity II  As part of the Scantegrity  agreement with Takoma Park (see  feasibility of the Scantegrity system during Takoma Park’s","['MMmq2jUAAAAJ', '', 'oQrvLjYAAAAJ', '']",151
1,Publication,Scantegrity: End-to-end voter-verifiable optical-scan voting,"['D Chaum', 'A Essex', 'R Carback', 'J Clark']",2008,IEEE Security & …,"Scantegrity is designed for use with optical scan voting  Scantegrity can be readily deployed  in precincts with existing  In summary, Scantegrity minimally impacts election procedures","['', 'miGbuS4AAAAJ', 'MMmq2jUAAAAJ', 'oQrvLjYAAAAJ']",243
2,Publication,"Usability of Voter Verifiable, End-to-end Voting Systems: Baseline Data for Helios,{Prêt}{à} Voter, and Scantegrity {II}","['CZ Acemyan', 'P Kortum', 'MD Byrne']",2014,2014 Electronic Voting …,"This study’s implementation of Scantegrity II was heavily based on materials used in the  2009 Takoma Park, Maryland election, in which voters used the system to elect the mayor and","['qDfqO9sAAAAJ', 'BD7BLDgAAAAJ', 'DalLJdYAAAAJ']",77
3,Publication,Scantegrity II: End-to-End Verifiability for Optical Scan Election Systems using Invisible Ink Confirmation Codes.,"['D Chaum', 'R Carback', 'J Clark', 'A Essex', 'S Popoveniuc']",2008,EVT,"We introduce Scantegrity II, a practical  original Scantegrity, dispute resolution neither relies  on paper chits nor requires election officials to recover particular ballot forms. Scantegrity II","['', 'MMmq2jUAAAAJ', 'oQrvLjYAAAAJ', 'miGbuS4AAAAJ', 'jbJoQfwAAAAJ']",220
4,Publication,Scantegrity II: End-to-end verifiability by voters of optical scan elections through confirmation codes,"['D Chaum', 'RT Carback', 'J Clark', 'A Essex']",2009,IEEE transactions on …,Contributions Scantegrity II and its predecessor Scantegrity [9] have the following  •  Compatibility with optical scan equipment: Scantegrity and Scantegrity II do not require the,"['', 'MMmq2jUAAAAJ', 'oQrvLjYAAAAJ', 'miGbuS4AAAAJ']",122
5,Publication,"Scantegrity {III}: Automatic Trustworthy Receipts, Highlighting {Over/Under} Votes, and Full Voter Verifiability","['AT Sherman', 'RA Fink', 'R Carback']",2011,2011 Electronic Voting …,"We call the improved voting system Scantegrity III, which  Scantegrity III addresses the major  limitations of Scantegrity II  compare three designs for a Scantegrity receipt printer: a simple","['ZzWjYkEAAAAJ', 'vnCWjsYAAAAJ', 'MMmq2jUAAAAJ']",26
6,Publication,"From Error to Error: Why Voters Could not Cast a Ballot and Verify Their Vote With Helios,{Prêt}{à} Voter, and Scantegrity {II}","['CZ Acemyan', 'P Kortum', 'MD Byrne']",2015,USENIX Journal of …,It should be noted that this study included only the Scantegrity II instructions available to  voters during the actual use of the voting system because systems cannot rely on users to have,"['qDfqO9sAAAAJ', 'BD7BLDgAAAAJ', 'DalLJdYAAAAJ']",36
7,Publication,Proving coercion-resistance of scantegrity II,"['R Küsters', 'T Truderung', 'A Vogt']",2010,International Conference on Information …,"In this paper, we prove that Scantegrity II enjoys an optimal level of coercion-resistance, ie,   the Scantegrity II voting system and present a formal specification. The analysis of Scantegrity","['', 'iURSr44AAAAJ', '']",27
8,Publication,"Users' mental models for three end-to-end voting systems: Helios, Prêt à Voter, and Scantegrity II","['CZ Acemyan', 'P Kortum', 'MD Byrne']",2015,… Conference on Human …,"Scantegrity II “offers a level of integrity not found in conventional voting systems” [4]. To   Despite the inclusion of all these special features, the voter experience for Scantegrity II was","['qDfqO9sAAAAJ', 'BD7BLDgAAAAJ', 'DalLJdYAAAAJ']",13
9,Publication,Scantegrity mock election at Takoma Park,"['AT Sherman', 'R Carback', 'D Chaum', 'J Clark']",2010,… on Electronic Voting …,"We report on our experiences and lessons learned using Scantegrity II in a mock  election held April 11, 2009, in Takoma Park, Maryland (USA). Ninetyfive members of the","['ZzWjYkEAAAAJ', 'MMmq2jUAAAAJ', '', 'oQrvLjYAAAAJ']",28
10,Publication,Scantegrity mock election at Takoma Park (summary),"['AT Sherman', 'R Carback', 'D Chaum', 'J Clark']",2009,Proceedings of the …,"voters cast ballots with the Scantegrity II voting system during  call Mock1, was to  demonstrate Scantegrity II’s readiness for  using Scantegrity II (henceforth referred to as “Scantegrity”).","['ZzWjYkEAAAAJ', 'MMmq2jUAAAAJ', '', 'oQrvLjYAAAAJ']",5
11,Publication,The Scantegrity voting system and its use in the Takoma Park elections,"['RT Carback', 'D Chaum', 'J Clark', 'A Essex']",2016,"… Design, Analysis and …","is on the Scantegrity II voting system (hereafter referred to as simply Scantegrity) and its use   remote voting system Remotegrity and accessible Scantegrity variant Audiotegrity, and their","['MMmq2jUAAAAJ', '', 'oQrvLjYAAAAJ', 'miGbuS4AAAAJ']",3
12,Publication,Scantegrity responds to rice study on usability of the scantegrity II voting system,"['N McBurnett', 'RT Carback', 'D Chaum', 'J Clark', 'J Conway']",2014,NA,"find that their study lacked an appropriate control voting system with which to compare  effectiveness, and thus their conclusions regarding Scantegrity II  of Scantegrity II at Takoma Park.","['T63ZO2AAAAAJ', 'MMmq2jUAAAAJ', '', '', '']",4
13,Publication,Electronic voting with Scantegrity: analysis and exposing a vulnerability,['JS Dean'],2012,"Electronic Government, An International Journal","Scantegrity, an electronic voting system developed by Chaum et al. (2008b), and it analyses  Scantegrity The paper describes a programmatic attack on Scantegrity and presents findings",[''],3
14,Publication,Step by step instructions for how to run a Scantegrity election on your own computer,['S Popoveniuc'],2008,NA,You are looking at a Scantegrity Ballot. If no image appears in the main window resize it a  little (it will force a repaint) c. Choose the Colors asked by first checking the radio button and,['jbJoQfwAAAAJ'],2
15,Publication,The Schulze method of voting,['M Schulze'],2018,arXiv preprint arXiv:1804.02973,"adopted the Schulze method. 1997 – 2006: In 1997, I proposed the Schulze method to a   This method was discussed for the first time in a public mailing list between June 1998 and",['-avdc-cAAAAJ'],13
16,Publication,A new monotonic and clone-independent single-winner election method,['M Schulze'],2003,Voting matters,"In section 5, I prove that this method satisfies Pareto, monotonicity, resolvability,  the Schulze  method, it is clear that this method meets Smith-IIA and Schwartz. Another election method",['-avdc-cAAAAJ'],114
17,Publication,"A new monotonic, clone-independent, reversal symmetric, and condorcet-consistent single-winner election method",['M Schulze'],2011,Social choice and Welfare,"Schulze method conforms with the Simpson–Kramer method (Table 1). In this article, we will  prove that, nevertheless, the Schulze method  Simpson–Kramer method, like resolvability (",['-avdc-cAAAAJ'],277
18,Publication,The experience with Wehner/Schulze procedure in the Czech Republic,"['J Daskova', 'J Kudrna']",2012,Procedia-social and behavioral sciences,/Schulze method; Christian Doppler Laboratory (TU Vienna) testing device was used. The  Wehner/Schulze  The paper shows a wide scope of W/S method usage: evaluation of polishing,"['', '']",11
19,Publication,Computing the Schulze Method for Large-Scale Preference Data Sets.,"['T Csar', 'M Lackner', 'R Pichler']",2018,IJCAI,"ranked pairs method. More precisely we show that winner determination subject to the Schulze  method is NL-complete, whereas this problem is P-complete for the ranked pairs method.","['v7MBj7EAAAAJ', 'Tk65Z3gAAAAJ', 'OiYGd-IAAAAJ']",7
20,Publication,Private computation of the Schulze voting method over the cloud,"['VK Yadav', 'A Anand', 'S Verma', 'S Venkatesan']",2020,Cluster Computing,"In this work, we propose an algorithm that computes the Schulze voting method privately and  finds the winner of the candidate without revealing the preferences of the voter. Users often","['ssJdgVQAAAAJ', '', '', '']",8
21,Publication,"… liver injury (HILI) with 12,068 worldwide cases published with causality assessments by Roussel Uclaf Causality Assessment Method (RUCAM): an overview","['R Teschke', 'A Eickhoff', 'J Schulze']",2021,Translational …,"as Roussel Uclaf Causality Assessment Method (RUCAM) is widely  RUCAM is an objective,  structured, and validated method,  and reliable causality assessment method (CAM) such as","['', '', '']",10
22,Publication,Application of a new statistical method to derive dietary patterns in nutritional epidemiology,"['K Hoffmann', 'MB Schulze']",2004,American journal of …,"The objective of this study was to apply a new statistical method, reduced rank regression  (RRR),  In contrast to principal component analysis and other methods, the new RRR method","['', 'jdsucXYAAAAJ']",646
23,Publication,Fine-Grained Complexity and Algorithms for the Schulze Voting Method,"['K Sornat', 'V Vassilevska Williams', 'Y Xu']",2021,… of the 22nd ACM Conference on …,"Schulze method1, a single-winner voting rule defined on (weak) ordinal preference ballots.  The method was introduced by Markus Schulze [ aspects of the Schulze method. In particular:","['ZwLPLOYAAAAJ', 'Wph6P_IAAAAJ', '']",0
24,Publication,Schulze voting as evidence carrying computation,"['D Pattinson', 'M Tiwari']",2017,International Conference on Interactive Theorem …,"of the Schulze method, together with the proof that winners can always be determined which  we extract to obtain a provably correct implementation of the Schulze method. The crucial","['_QbFzhkAAAAJ', 'o8zCZV4AAAAJ']",8
25,Publication,How well can epileptic seizures be predicted? An evaluation of a nonlinear method,"['', 'HU Voss', 'J Timmer', 'A Schulze‐Bonhage']",2003,Brain,"The unpredictability of the occurrence of epileptic seizures contributes to the burden of the  disease to a major degree. Thus, various methods have been proposed to predict the onset of","['', 'aZhVXoYAAAAJ', 'Gg1SOJoAAAAJ', 'OmJeZJoAAAAJ']",231
26,Publication,Varibad: A very good method for bayes-adaptive deep rl via meta-learning,"['L Zintgraf', 'K Shiarlis', 'M Igl', 'S Schulze', 'Y Gal']",2019,arXiv preprint arXiv …,"In the following, we propose a method that simultaneously meta-learns the reward and  transition functions, how to perform inference in an unknown MDP, and how to use the belief to","['lEzcLFwAAAAJ', 'FNiMmWoAAAAJ', 'rFcdDJEAAAAJ', '', 'SIayDoQAAAAJ']",88
27,Publication,Off-pump epicardial tissue sealing—a novel method for atrioventricular disruption complicating mitral valve procedures,"['A Schuetz', 'C Schulze', 'SM Wildhirt']",2004,The Annals of thoracic surgery,The second series of 5 patients were treated off-pump with a method of epicardial tissue   improvement of survival after AVD using a method of epicardial tissue sealing off-pump with a,"['', '', '']",36
28,Publication,Mineral resources in life cycle impact assessment: part II–recommendations on application-dependent use of existing methods and on future method …,"['', 'A Sahnoune', 'D Schrijvers', 'R Schulze']",2020,… International Journal of …,"Besides method-specific recommendations, we recommend that all methods increase the   dissipative resource use should be defined and integrated in future method developments.","['', '', 'FFdTsooAAAAJ', '']",68
29,Publication,"Regional flood frequency analysis in the KwaZulu-Natal province, South Africa, using the index-flood method","['TR Kjeldsen', 'JC Smithers', 'RE Schulze']",2002,Journal of hydrology,The estimation of CONC is based on the methodology presented by Markham (1970) and  applied on a national scale in South Africa by Schulze (1997). The method is based on a,"['rCIMbr4AAAAJ', 'YV80QBgAAAAJ', 'wNAXlEoAAAAJ']",152
