,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Method validation across the disciplines—critical investigation of major validation criteria and associated experimental protocols,"['D Stöckl', ""H D'Hondt"", 'LM Thienpont']",2009,Journal of Chromatography B,"Analytical method development should aim at delivering reliable measurements  method  validation is integrated in the development process, because it enables to establish a method's","['', '', '']",74
1,Publication,Search for high mass dijet resonances with a new background prediction method in proton-proton collisions at s  = 13 TeV,"['', ""J D'Hondt"", 'J De Clercq', 'D Lontkovskyi']",2020,Journal of High Energy …,"is predicted with the fit method used in previous publications and with a new method. The  dijet invariant mass spectrum is well described by both data-driven methods, and no significant","['', '', '', '']",115
2,Publication,Search for a standard model Higgs boson produced in association with a top-quark pair and decaying to bottom quarks using a matrix element method,"['', 'F Blekman', 'S Blyweert', ""J D'Hondt""]",2015,The European Physical …,"In order to separate the signal from the larger\(\hbox {t}\overline {\hbox {t}}\)+ jets background,  this analysis uses a matrix element method that assigns a probability density value to each","['', 'B147kE0AAAAJ', '', '']",227
3,Publication,Artificial intelligence and robotics: a combination that is changing the operating room,"['', 'A Beulens', 'N Crisan', ""F D'Hondt""]",2020,World Journal of …,staging compared to a method based solely on clinical  higher predictive accuracy than  classic statistical methods [9].  the available literature on AI methods used in robotic surgery,"['', '', '', '']",32
4,Publication,Measurement of the charge asymmetry in top quark pair production in  collisions at  using a template method,"['', 'A Van Spilbeeck', 'SA Zeid', 'F Blekman', ""J D'Hondt""]",2016,Physical Review D,"The charge asymmetry in the production of top quark and antiquark pairs is measured in  proton-proton collisions at a center-of-mass energy of 8 TeV. The data, corresponding to an","['', '', '', 'B147kE0AAAAJ', '']",75
5,Publication,Nature and extent of the deep biosphere,"['FS Colwell', ""S D'Hondt""]",2013,Reviews in Mineralogy & Geochemistry,"In the last three decades we have learned a great deal about microbes in subsurface  environments. Once, these habitats were rarely examined, perhaps because so much of the life","['', 'n57iAiYAAAAJ']",127
6,Publication,The Southampton consensus guidelines for laparoscopic liver surgery: from indication to implementation,"['', 'M Besselink', 'J Briceno', 'B Gayet', ""M D'Hondt""]",2018,Annals of …,were integrated: the Scottish Intercollegiate Guidelines Network methodology for the  assessment of evidence and development of guideline statements; the Delphi method of,"['', 'vvIVEs8AAAAJ', '', '04subVMAAAAJ', '']",386
7,Publication,Reversed‐phase chromatography as a general method for determining octan‐1‐ol/water partition coefficients,"['H Ellgehausen', ""C D'Hondt"", 'R Fuerer']",1981,Pesticide science,"On the experimental side, various methods are in use for the determination of octan-1-ol/  continuous partitioning method.13J4 However, at present the most promising method seems to","['', '', '']",119
8,Publication,New cell extraction procedure applied to deep subsurface sediments,"['', 'DC Smith', 'AJ Spivack', ""S D'Hondt""]",2008,… : Methods,"Additionally, this separation method has the potential to allow the  As part of the development  of the method, we evaluated  these tests and detail the method that was most appropriate.","['', 'poOchUIAAAAJ', '', 'n57iAiYAAAAJ']",160
9,Publication,Azimuthal anisotropy of charged particles with transverse momentum up to 100 GeV/c in PbPb collisions at sNN= 5.02 TeV,"['', 'A Van Spilbeeck', 'SA Zeid', 'F Blekman', ""J D'Hondt""]",2018,Physics Letters B,"methods, which have different sensitivities to initial-state fluctuations. The values from both  methods  The v 3 coefficient, only measured with the scalar product method, tends to zero for","['', '', '', 'B147kE0AAAAJ', '']",120
10,Publication,Pseudorapidity distribution of charged hadrons in proton–proton collisions at s= 13 TeV,"['', 'A Van Spilbeeck', 'SA Zeid', 'F Blekman', ""J D'Hondt""]",2015,Physics Letters B,", the charged-hadron multiplicity density is d N ch / d η | | η | < 0.5 = 5.49 ± 0.01 (stat) ± 0.17  (syst) , a value obtained by combining the two methods. The result is compared to predictions","['', '', '', 'B147kE0AAAAJ', '']",171
11,Publication,Nonlocal filtering applied to 3-D reconstruction of tomographic SAR data,"[""O D'Hondt"", 'C López-Martínez']",2017,… on Geoscience and …,"such methods and introduce a spatial simulation procedure allowing generating a tomographic  image stack from a 3-D  Consequently, we propose two nonlocal methods to improve the","['3vZCkcEAAAAJ', '0aeoqeEAAAAJ']",30
12,Publication,An analytical quality by design (aQbD) approach for a L-asparaginase activity method,"['H Yao', 'J Vancoillie', ""M D'Hondt"", 'E Wynendaele']",2016,… of Pharmaceutical and …,l-asparaginase is an effective anti-tumor agent for acute lymphoblastic leukemia. This work  presents the development of an activity determination of l-ASNase preparations for,"['', '', '', '']",23
13,Publication,"A rapid stability-indicating, fused-core HPLC method for simultaneous determination of β-artemether and lumefantrine in anti-malarial fixed dose combination …","['', 'K Vandercruyssen', 'E Wynendaele', ""M D'Hondt""]",2013,Malaria journal,"analytical methods. Thus, there is a need for a rapid and simple, but stability-indicating method  for  Evaluation of the method, including a Plackett-Burman robustness verification within","['', '', '', '']",24
14,Publication,Transverse-Momentum and Pseudorapidity Distributions of Charged Hadrons in  Collisions at,"['', 'V Adler', 'S Beauceron', 'S Blyweert', ""J D'Hondt""]",2010,Physical Review Letters,"Distributions of dNch=d , averaged over the three measurement methods and compared  with data from UA5 [23] (pp, with statistical errors only) and ALICE [24] (with systematic","['', '', '', '', '']",573
15,Publication,Rejected ballot papers in the 2007 Scottish Parliament election: The voters' perspective,"['D Denver', 'R Johns', 'C Carman']",2009,British Politics,: bad weather delayed the collection of ballot boxes from outlying islands and in an Edinburgh  polling station some ballot papers were damaged by a vandal wielding a golf club and,"['', 'n6B5gMMAAAAJ', '']",19
16,Publication,MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells,"['', 'R Aucagne', 'M Bon', 'S Revy', 'R Barnestein', 'E Ballot']",2022,Cancer Cell,"Chemotherapy with anti PD-1/PD-L1 antibodies has become the standard of care for patients  with metastatic non-small cell lung cancer (mNSCLC). Using lung tumor models, where","['', '', '', '', '', '']",1
